chapter,section,word_body_index,style_name,old_text_preview,new_text_preview,change_type
摘要,摘要,28,,随着就业竞争加剧和高校毕业生规模持续扩大，传统依赖人工经验与静态题库的求职训练方式已难以满足个性化、连续化和即时化的训练需求。针对这一问题，本文设计并实现了一种基于大语言模型的沉浸...,随着就业竞争加剧和高校毕业生规模持续扩大，传统依赖人工经验与静态题库的求职训练方式，已难以满足个性化、连续化和即时化的训练需求。针对这一问题，本文设计并实现了一种基于大语言模型的沉...,body
摘要,摘要,28,,在具体实现中，系统首先通过 PDF 文本提取与大语言模型结构化输出，对用户简历中的技能和项目经历进行提炼；随后根据岗位模板构建面试会话上下文，驱动模型围绕用户履历生成更具针对性的面...,在具体实现中，系统先通过 PDF 文本提取与大语言模型结构化输出，对用户简历中的技能和项目经历进行提炼；再根据岗位模板构建面试会话上下文，驱动模型围绕用户履历生成更具针对性的面试问...,body
摘要,摘要,28,,本文工作表明，大语言模型在求职训练场景中具有较好的应用潜力，但系统在长程上下文管理、内容可靠性与多模态交互方面仍存在进一步优化空间。后续可围绕摘要压缩、事实核验和语音化扩展等方向展...,本文工作表明，大语言模型在求职训练场景中具有较好的应用潜力。与此同时，系统在长程上下文管理、内容可靠性与多模态交互方面仍存在进一步优化空间。后续可围绕摘要压缩、事实核验和语音化扩展...,body
Abstract,Abstract,35,,With the intensifying competition in the job market and the continuous growth in the numbe...,With the intensifying competition in the job market and the continuous growth in the numbe...,body
Abstract,Abstract,35,,"In the implementation process, resume text is first extracted from PDF files and then tran...","In the implementation process, resume text is first extracted from PDF files and then tran...",body
第一章 绪论,1.1 研究背景,41,,近年来，宏观经济结构调整、产业升级与高校毕业生规模持续扩大叠加作用，使就业市场的供需匹配压力显著上升。对于企业而言，传统招聘流程长期依赖人工阅读简历、经验判断与线下沟通，不仅处理效...,近年来，宏观经济结构调整、产业升级与高校毕业生规模持续扩大共同作用，使就业市场的供需匹配压力显著上升。对企业而言，传统招聘流程长期依赖人工阅读简历、经验判断与线下沟通，处理效率有限...,body
第一章 绪论,1.1 研究背景,41,,人工智能技术的发展为招聘流程重构与面试训练升级提供了新的技术基础。相关研究指出，企业招聘场景中的智能化转型已经从基础的信息归集、简历筛选逐步扩展至人才画像、能力识别与辅助决策等环节...,人工智能技术的发展，为招聘流程重构与面试训练升级提供了新的技术基础。相关研究指出，企业招聘场景中的智能化转型，已经从基础的信息归集、简历筛选逐步扩展至人才画像、能力识别与辅助决策等...,body
第一章 绪论,1.1 研究背景,41,,随着人工智能技术在就业服务、招聘筛选和人才评估场景中的持续渗透，劳动者所需能力结构也在发生变化。相关研究表明，智能招聘系统正在从关键词检索逐步转向语义匹配和上下文理解，以提升候选人...,随着人工智能技术持续渗透就业服务、招聘筛选和人才评估场景，劳动者所需能力结构也在发生变化。相关研究表明，智能招聘系统正从关键词检索逐步转向语义匹配和上下文理解，以提升候选人经历与岗...,body
第一章 绪论,1.1 研究背景,41,,大语言模型的快速演进进一步推动了交互式智能系统的发展。与传统基于规则或单轮问答的系统相比，大语言模型在文本理解、上下文关联、动态生成与反馈表达方面展现出更强的通用能力，使其能够被用...,大语言模型的快速演进，进一步推动了交互式智能系统的发展。与传统基于规则或单轮问答的系统相比，大语言模型在文本理解、上下文关联、动态生成与反馈表达方面具有更强的通用能力，可用于构建面...,body
第一章 绪论,1.2 国内外研究现状,46,,从国外研究情况来看，人工智能已较早进入招聘评估与面试训练相关场景。部分研究开始关注生成式人工智能在面试训练系统中的应用，通过岗位场景划分、难度分级与实时反馈机制，为用户提供个性化训...,从国外研究情况看，人工智能较早进入招聘评估与面试训练相关场景。部分研究开始关注生成式人工智能在面试训练系统中的应用，通过岗位场景划分、难度分级与实时反馈机制，为用户提供个性化训练支...,body
第一章 绪论,1.2 国内外研究现状,46,,在人岗匹配研究方面，相关工作逐渐从传统关键词筛选转向语义匹配和深度学习模型。部分研究将简历文本与岗位描述建模为双边匹配任务，利用 BERT、结构化提示词或语义嵌入方法提取候选人能力...,在人岗匹配研究方面，相关工作逐渐从传统关键词筛选转向语义匹配和深度学习模型。部分研究将简历文本与岗位描述建模为双边匹配任务，利用 BERT、结构化提示词或语义嵌入方法，提取候选人能...,body
第一章 绪论,1.2 国内外研究现状,46,,在面试训练系统方面，国外研究已经开始将生成式对话模型用于模拟面试和自动反馈，并进一步结合 VR 或多模态信息提升训练真实感；国内研究也开始探索多智能体协同的大学生就业面试训练系统，...,在面试训练系统方面，国外研究已开始将生成式对话模型用于模拟面试和自动反馈，并进一步结合 VR 或多模态信息提升训练真实感。国内研究也开始探索多智能体协同的大学生就业面试训练系统，将...,body
第一章 绪论,1.2 国内外研究现状,46,,现有国外产品与研究虽然在自动化招聘、模拟交互与智能反馈方面积累了一定经验，但仍存在若干局限。其一，不少系统更加关注通用问答能力或岗位技能测验，对用户个体简历信息的深度利用仍然不足，...,现有国外产品与研究虽然在自动化招聘、模拟交互与智能反馈方面积累了一定经验，但仍存在若干局限。一些系统更关注通用问答能力或岗位技能测验，对用户个体简历信息的深度利用仍然不足，难以形成...,body
第一章 绪论,1.2 国内外研究现状,46,,从国内研究情况来看，相关工作主要集中在招聘智能化、中文简历解析与面试训练系统设计三个方向。一方面，有研究从企业招聘管理视角讨论人工智能背景下招聘体系的优化路径，指出招聘智能化应从理...,从国内研究情况看，相关工作主要集中在招聘智能化、中文简历解析与面试训练系统设计三个方向。一方面，有研究从企业招聘管理视角讨论人工智能背景下招聘体系的优化路径，指出招聘智能化应从理念...,body
第一章 绪论,1.2 国内外研究现状,46,,此外，随着大语言模型和多智能体技术的发展，国内也开始出现面向就业辅导与面试训练的系统设计研究。相关研究尝试将姿态、情感、文本理解与反馈生成等能力拆解为多个协同模块，以支持更细粒度的...,随着大语言模型和多智能体技术的发展，国内也开始出现面向就业辅导与面试训练的系统设计研究。相关研究尝试将姿态、情感、文本理解与反馈生成等能力拆解为多个协同模块，以支持更细粒度的训练反...,body
第一章 绪论,1.2 国内外研究现状,46,,综合来看，国内外研究已经分别在招聘智能化、简历解析、模拟训练与多轮对话评估等方面形成了较为丰富的理论与技术积累，但仍缺少一个能够同时整合用户简历信息、岗位模板、动态问答生成与流式交...,综合来看，国内外研究已经在招聘智能化、简历解析、模拟训练与多轮对话评估等方面形成较为丰富的理论与技术积累，但仍缺少一个能够同时整合用户简历信息、岗位模板、动态问答生成与流式交互体验...,body
第一章 绪论,1.3 研究内容与目标,54,,本课题围绕“简历诊断—模拟面试—结果评估”的完整训练链路展开设计与实现。首先，在简历处理环节，系统通过 PDF 文本提取与大语言模型结构化输出相结合的方式，对用户简历中的技能、项目...,本课题围绕“简历诊断—模拟面试—结果评估”的完整训练链路展开设计与实现。在简历处理环节，系统通过 PDF 文本提取与大语言模型结构化输出相结合的方式，抽取用户简历中的技能、项目经历...,body
第一章 绪论,1.4 论文结构安排,57,,全文共分为六章。第一章为绪论，主要阐述课题研究背景、国内外研究现状、研究内容与论文整体结构。第二章为相关技术综述，介绍大语言模型、SSE 流式通信、Vue 3、Spring Boo...,全文共分为六章。第一章为绪论，主要阐述课题研究背景、国内外研究现状、研究内容与论文整体结构。第二章为相关技术综述，介绍大语言模型、SSE 流式通信、Vue 3、Spring Boo...,body
第二章 相关技术综述,2.1 大语言模型技术概述,61,,大语言模型是近年来自然语言处理领域的重要发展方向，其核心基础通常建立在 Transformer 架构之上。与传统循环神经网络相比，Transformer 通过自注意力机制对输入序列...,大语言模型是近年来自然语言处理领域的重要发展方向，其核心基础通常建立在 Transformer 架构之上。与传统循环神经网络相比，Transformer 通过自注意力机制对输入序列...,body
第二章 相关技术综述,2.1 大语言模型技术概述,61,,在工程应用层面，大语言模型的价值不仅体现在生成能力本身，还体现在其通用接口生态的快速形成。随着 OpenAI 协议逐渐成为事实上的接口标准，不同厂商提供的大模型服务在请求结构、消息...,在工程应用层面，大语言模型的价值不仅体现在生成能力本身，也体现在通用接口生态的快速形成。随着 OpenAI 协议逐渐成为事实上的接口标准，不同厂商提供的大模型服务在请求结构、消息组...,body
